"No.","Time","Source","Destination","Protocol","Length","Info"
"110","2019-03-08 11:41:46","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=25/6400, ttl=128 (request in 109)"
"111","2019-03-08 11:41:47","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=26/6656, ttl=64 (reply in 112)"
"112","2019-03-08 11:41:47","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=26/6656, ttl=128 (request in 111)"
"113","2019-03-08 11:41:48","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=27/6912, ttl=64 (reply in 114)"
"114","2019-03-08 11:41:48","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=27/6912, ttl=128 (request in 113)"
"115","2019-03-08 11:41:49","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=28/7168, ttl=64 (reply in 116)"
"116","2019-03-08 11:41:49","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=28/7168, ttl=128 (request in 115)"
"117","2019-03-08 11:41:50","192.168.141.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"118","2019-03-08 11:41:50","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=29/7424, ttl=64 (reply in 119)"
"119","2019-03-08 11:41:50","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=29/7424, ttl=128 (request in 118)"
"120","2019-03-08 11:41:51","192.168.141.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"121","2019-03-08 11:41:51","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=30/7680, ttl=64 (reply in 122)"
"122","2019-03-08 11:41:51","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=30/7680, ttl=128 (request in 121)"
"123","2019-03-08 11:41:52","192.168.141.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"124","2019-03-08 11:41:52","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=31/7936, ttl=64 (reply in 125)"
"125","2019-03-08 11:41:52","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=31/7936, ttl=128 (request in 124)"
"126","2019-03-08 11:41:53","192.168.141.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"127","2019-03-08 11:41:53","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=32/8192, ttl=64 (reply in 128)"
"128","2019-03-08 11:41:53","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=32/8192, ttl=128 (request in 127)"
"129","2019-03-08 11:41:54","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=33/8448, ttl=64 (reply in 130)"
"130","2019-03-08 11:41:54","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=33/8448, ttl=128 (request in 129)"
